assumption_id,assumption_name,assumption_category,value,unit,source_id,source_name,confidence_level,oig_study_scope_note,used_in_generator,generator_field,notes
A01,Overall PA Approval Rate,Decision Outcome,92.3,percent,S3,KFF MA PA 2024,High,,Yes,decision,"KFF: 48.7M of 52.8M fully favorable. Primary approval rate calibration target."
A02,Overall PA Denial Rate (full or partial),Decision Outcome,7.7,percent,S3,KFF MA PA 2024,High,,Yes,decision,"KFF: 4.1M of 52.8M denied. Primary denial rate calibration target."
A03,Overall PA Denial Rate 2023,Decision Outcome,6.4,percent,S4,KFF MA PA 2023,High,,Yes,submitted_date year-weighting,"Used for year-over-year trend; 2023 has lower denial rate than 2024."
A04,Share of Denied PAs Appealed,Appeal Behavior,11.5,percent,S3,KFF MA PA 2024,High,,Yes,appealed,"KFF 2024: only 11.5% of denials lead to appeal."
A05,Appeal Overturn Rate (full + partial),Appeal Outcome,80.7,percent,S3,KFF MA PA 2024,High,,Yes,appeal_outcome,"KFF 2024: 80.7% of appeals overturned. Split as 65% Overturned + 15.7% Partially Overturned."
A06,Inappropriate Denial Rate (OIG),Denial Quality,13.0,percent,S5,HHS OIG OEI-09-18-00260 2022,Medium-High,"CRITICAL SCOPE NOTE: Based on stratified random sample of 250 PA denials from 15 MAOs during a single week (June 1-7 2019). Study period is 2019; published 2022. NOT a current universal rate. Used for context only — not directly as a generator parameter.",No,N/A,"Used for narrative framing only. Informs denial quality analysis in Phase 3 but is NOT a direct distribution parameter. See methodology note."
A07,Standard Request Mean Turnaround Days,Turnaround Time,5.0,calendar_days,S1_industry,CMS-0057-F + AMA industry,Medium,,Yes,decision_time_days,"Lognormal(log(5) 0.5 sigma) for standard requests. Industry range 3-7 days."
A08,Expedited Request Mean Turnaround Days,Turnaround Time,1.5,calendar_days,S1_industry,CMS-0057-F + AMA industry,Medium,,Yes,decision_time_days,"Lognormal(log(1.5) 0.4 sigma) for expedited. Industry range 0.5-3 days."
A09,Post-Denial Rework Mean Days,Turnaround Time,15.0,calendar_days,S8_industry,AMA + industry sources,Medium,,No,N/A,"Denials that are reworked take 10-21 days total. Context for appeal timing distribution."
A10,SLA Compliance Rate - Standard,SLA Compliance,82.0,percent,assumption,Documented payer workflow assumption,Low-Medium,,[ASSUMPTION] Yes,delayed_flag,"No public source for exact SLA compliance rate. 82% is a conservative cross-payer assumption. Labeled as ASSUMPTION."
A11,SLA Compliance Rate - Expedited,SLA Compliance,90.0,percent,S7_assumption,Aetna S7 + cross-payer assumption,Medium,,[ASSUMPTION] Yes,delayed_flag,"Aetna 95%+; cross-payer average adjusted to 90%."
A12,Synthetic Dataset Size,PA Volume,25000,requests,design,Project scope,N/A,,Yes,request count,"Fixed by project specification."
A13,Documentation Incomplete Rate,Documentation Quality,22.0,percent,S5_S8_assumption,OIG S5 + AMA S8 + payer workflow,Medium,,[ASSUMPTION] Yes,documentation_complete,"22% incomplete on first submission. Labeled ASSUMPTION. Provider avg_incomplete_submission_rate is primary driver."
A14,Pend Rate,Workflow Routing,12.0,percent,assumption,Documented payer workflow assumption,Low-Medium,,[ASSUMPTION] Yes,decision,"No single public source. 12% base pend rate modified by documentation completeness."
A15,Denial Reason: Medical Necessity Not Met,Denial Reason Distribution,35.0,percent_of_denials,S5_assumption,OIG + Commonwealth Fund,Medium,,Yes,denial_reason,"Commonwealth Fund: medical necessity ~24% of PA rejections. Adjusted to 35% as most common category in this model."
A16,Denial Reason: Documentation Incomplete,Denial Reason Distribution,28.0,percent_of_denials,S5_S8_assumption,OIG + AMA,Medium,,Yes,denial_reason,"OIG (S5) identifies documentation as primary inappropriate denial driver."
A17,Denial Reason: Clinical Criteria Not Met (MAO-specific),Denial Reason Distribution,20.0,percent_of_denials,S5,HHS OIG OEI-09-18-00260,Medium,"Relates to OIG finding that MAOs apply non-Medicare clinical criteria. The 13% inappropriate denial figure from OIG is NOT used directly here. See A06.",Yes,denial_reason,"MAO-specific clinical criteria beyond Medicare coverage rules."
A18,Denial Reason: Not a Covered Benefit,Denial Reason Distribution,10.0,percent_of_denials,assumption,Documented payer workflow assumption,Low,,[ASSUMPTION] Yes,denial_reason,"Coverage exclusion. Conservative assumption."
A19,Denial Reason: Duplicate/Administrative Error,Denial Reason Distribution,7.0,percent_of_denials,assumption,Documented payer workflow assumption,Low,,[ASSUMPTION] Yes,denial_reason,"Duplicate submissions and admin errors. Conservative."
A20,Electronic Submission Rate,Submission Channel,55.0,percent,S7_assumption,Aetna + CMS-0057-F context,Medium,,[ASSUMPTION] Yes,submission_channel,"Aetna 83% real-time (S7). Cross-payer 55% electronic is a documented assumption."
A21,Fax Submission Rate,Submission Channel,25.0,percent,assumption,Documented payer workflow assumption,Low,,[ASSUMPTION] Yes,submission_channel,"Fax remains common especially for smaller providers."
A22,Portal/Phone Submission Rate,Submission Channel,20.0,percent,assumption,Documented payer workflow assumption,Low,,[ASSUMPTION] Yes,submission_channel,"12% portal + 8% phone."
A23,Expedited Request Share,Request Urgency,15.0,percent,S1_assumption,CMS-0057-F + payer workflow,Medium,,[ASSUMPTION] Yes,request_type,"15% expedited/urgent. No single public benchmark. Labeled ASSUMPTION."
A24,First-Pass Approval Rate,First-Pass Efficiency,78.0,percent,S7_assumption,Aetna S7 + cross-payer,Medium,,No,N/A,"Aetna 95%+ but cross-payer lower. Not directly a generator parameter; emerges from decision logic."
A25,Annual PA Volume Growth Rate,Volume Trend,6.0,percent_YoY,S3_S4_derived,KFF 2024 vs 2023,Medium,,Yes,submitted_date year weights,"52.8M (2024) vs 49.8M (2023) = 6.0% growth. 2024 gets 53% of requests in synthetic data."
C01,Advanced Imaging Base Denial Risk,Service Category,0.12,probability,assumption,OIG S5 narrative + payer workflow assumption,Medium,"OIG S5 specifically names advanced imaging (MRI) as a frequently denied service category. This is a narrative reference not a measured denial rate.","[ASSUMPTION] Yes",base_denial_risk,"12% base denial risk for imaging services."
C02,Inpatient Hospital Base Denial Risk,Service Category,0.13,probability,assumption,OIG S5 narrative + payer workflow assumption,Medium,"OIG S5 names post-acute facility stays including inpatient rehab as a high-denial category.","[ASSUMPTION] Yes",base_denial_risk,"13% base denial risk for inpatient."
C03,Post-Acute / SNF Base Denial Risk,Service Category,0.16,probability,assumption,OIG S5 narrative + payer workflow assumption,Medium,"OIG S5 explicitly cites inpatient rehabilitation and SNF as high-denial services. Highest base rate in this model.","[ASSUMPTION] Yes",base_denial_risk,"16% base denial risk for post-acute/SNF — highest category."
C04,Surgical Procedures Base Denial Risk,Service Category,0.10,probability,assumption,Documented payer workflow assumption,Medium,,"[ASSUMPTION] Yes",base_denial_risk,"Surgery requires clinical review; moderate-high base rate."
C05,Specialty Drugs Base Denial Risk,Service Category,0.09,probability,assumption,Documented payer workflow assumption,Medium,,"[ASSUMPTION] Yes",base_denial_risk,"Moderate; drug PA less studied in CMS public data."
C06,Durable Medical Equipment Base Denial Risk,Service Category,0.10,probability,assumption,OIG context + payer workflow assumption,Medium,"DME has historically elevated PA denial rates in OIG oversight context.","[ASSUMPTION] Yes",base_denial_risk,"10% base denial risk for DME."
C07,Outpatient Procedures Base Denial Risk,Service Category,0.05,probability,assumption,Documented payer workflow assumption,Medium,,"[ASSUMPTION] Yes",base_denial_risk,"Lowest risk category; high automation eligibility."
C08,Behavioral Health Base Denial Risk,Service Category,0.08,probability,assumption,Documented payer workflow assumption (mental health parity context),Medium,,"[ASSUMPTION] Yes",base_denial_risk,"Mental health parity law applies but denial rates still exist."
C09,Physical/Occupational Therapy Base Denial Risk,Service Category,0.06,probability,assumption,Documented payer workflow assumption,Medium,,"[ASSUMPTION] Yes",base_denial_risk,"Low-medium; high automation eligible."
C10,Home Health Base Denial Risk,Service Category,0.09,probability,assumption,Documented payer workflow assumption,Medium,,"[ASSUMPTION] Yes",base_denial_risk,"Home health PA is common in MA; moderate denial rate assumption."
G01,Documentation Completeness Multiplier on Denial,Generator Logic,2.5,multiplier,S5_S8_assumption,OIG S5 + AMA S8,Medium,,"[ASSUMPTION] Yes",denial_probability adjustment,"Incomplete documentation increases denial probability by 2.5x. Reflects OIG finding that documentation issues are primary inappropriate denial cause."
G02,High-Risk Provider Multiplier on Denial,Generator Logic,1.5,multiplier,assumption,Documented payer workflow assumption,Low,,"[ASSUMPTION] Yes",denial_probability adjustment,"High-risk providers (high incomplete rate) increase denial probability by 1.5x."
G03,Out-of-Network Multiplier on Denial,Generator Logic,1.8,multiplier,assumption,Documented payer workflow assumption,Low,,"[ASSUMPTION] Yes",denial_probability adjustment,"Out-of-network requests face significantly higher denial probability."
G04,Auto-Eligible Multiplier on Denial,Generator Logic,0.4,multiplier,S7_assumption,Aetna S7 automation benchmark,Medium,,"[ASSUMPTION] Yes",denial_probability adjustment,"Automation fast-tracks approvals; reduces denial probability by 60%."
G05,Fax Channel Turnaround Multiplier,Generator Logic,1.25,multiplier,assumption,Documented payer workflow assumption,Low,,"[ASSUMPTION] Yes",decision_time_days,"Fax submissions average 25% longer turnaround than electronic."
G06,Incomplete Documentation Turnaround Multiplier,Generator Logic,1.4,multiplier,S5_S8_assumption,OIG S5 + AMA S8,Medium,,"[ASSUMPTION] Yes",decision_time_days,"Documentation back-and-forth adds ~40% to turnaround time."
G07,Pended Resolution Rate (Approved),Generator Logic,75.0,percent,assumption,Documented payer workflow assumption,Low,,"[ASSUMPTION] Yes",final_outcome,"75% of pended cases eventually resolve as Approved when additional info submitted."
G08,Appeal Filed Within Days of Denial,Generator Logic,15.0,days_mean,assumption,Documented payer workflow assumption,Low,,"[ASSUMPTION] Yes",appeal_date,"Appeals typically filed 1-30 days after denial. Mean 15 days."
G09,Appeal Decision Turnaround,Generator Logic,17.0,days_mean,assumption,Documented payer workflow assumption,Low,,"[ASSUMPTION] Yes",appeal_decision_days,"No CMS mandate for appeal decision timeframes (as of 2024). Uniform 5-30 days. Mean ~17."
